id,posto_id,tipo,valor,created_at,updated_at
8,8,GASOLINA ADITIVADA,"R$ 3,44",2020-05-15 18:06:15+00,2020-05-15 18:06:15+00
9,9,GASOLINA ADITIVADA,"R$ 3,44",2020-05-15 18:06:15+00,2020-05-15 18:06:15+00
11,11,GASOLINA ADITIVADA,"R$ 3,44",2020-05-15 18:06:15+00,2020-05-15 18:06:15+00
12,12,GASOLINA ADITIVADA,"R$ 3,46",2020-05-15 18:06:15+00,2020-05-15 18:06:15+00
866,270,OLEO DIESEL B S,"R$ 3,17",2020-06-04 12:05:33+00,2020-07-08 03:05:36+00
21,21,GASOLINA ADITIVADA,"R$ 3,46",2020-05-15 18:06:15+00,2020-05-15 18:06:15+00
649,124,ETANOL,"R$ 3,26",2020-05-28 13:20:51+00,2020-06-19 10:46:47+00
385,92,GASOLINA COMUM,"R$ 3,60",2020-05-21 18:00:32+00,2020-05-21 18:00:32+00
28,28,GASOLINA ADITIVADA,"R$ 3,46",2020-05-15 18:06:15+00,2020-05-15 18:06:15+00
386,80,GASOLINA COMUM,"R$ 3,60",2020-05-21 18:00:32+00,2020-05-21 18:00:32+00
31,31,GASOLINA ADITIVADA,"R$ 3,46",2020-05-15 18:06:15+00,2020-05-15 18:06:15+00
376,11,OLEO DIESEL BS 10 ADITIVADO,"R$ 2,86",2020-05-21 15:00:29+00,2020-06-17 00:31:49+00
33,33,GASOLINA ADITIVADA,"R$ 3,47",2020-05-15 18:06:15+00,2020-05-15 18:06:15+00
37,37,GASOLINA ADITIVADA,"R$ 3,49",2020-05-15 18:06:15+00,2020-05-15 18:06:15+00
66,66,GASOLINA ADITIVADA,"R$ 3,65",2020-05-15 18:06:16+00,2020-05-21 18:00:32+00
40,40,GASOLINA ADITIVADA,"R$ 3,49",2020-05-15 18:06:15+00,2020-05-15 18:06:15+00
61,61,GASOLINA ADITIVADA,"R$ 3,69",2020-05-15 18:06:16+00,2020-05-21 18:00:32+00
