id,nome,endereco,contato,status,cidade,latitude,longitude,url,bandeira,created_at,updated_at
2,POSTO SAO GONCALO 3,"RODOVIA BR-116 S/N NOVO HORIZONTE 44036331, FEIRA DE SANTANA",7532261302,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.1779054,-38.9755685,https://goo.gl/maps/EQgbswDrAe7BDvUD6,ipiranga,2020-05-15 18:06:14+00,2020-05-18 16:30:04+00
4,POSTO TREVO,"RODOVIA BR 116 S/N NOVO HORIZONTE 44036331, FEIRA DE SANTANA",7534717157,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.0637487,-38.9731069,https://goo.gl/maps/tWpJNTMum1vKbAXB8,petrobras,2020-05-15 18:06:15+00,2020-05-18 16:35:51+00
5,POSTO EXPOFEIRA,"RUA CENTRO INDUSTRIAL SUBAE SN CENTRO INDUSTRIAL SUBAE 44052510, FEIRA DE SANTANA",,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.297598,-38.9017894,https://goo.gl/maps/7fTbFLYbtQ1cvLHY9,menor,2020-05-15 18:06:15+00,2020-05-18 16:41:37+00
8,MEGA POSTO 2,"RODOVIA BR. 116, KM.18 S/N TIQUARUCU 44140000, FEIRA DE SANTANA",7536146277,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,,,,outros,2020-05-15 18:06:15+00,2020-05-18 16:52:00+00
7,POSTO NOSSO GAS 1,"RODOVIA BR324, KM102-SENTIDO SALV/FEIRA S/N CIS 44096486, FEIRA DE SANTANA",7536124200,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2860054,-38.9145728,https://goo.gl/maps/jzKHCZe13PfroPbL9,menor,2020-05-15 18:06:15+00,2020-05-18 16:46:33+00
9,MEGA POSTO 1,"RODOVIA BR. 324, KM.99 S/N HUMILDES (FEIRA DE SANTANA) 44135000, FEIRA DE SANTANA",7536143851,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,,,,outros,2020-05-15 18:06:15+00,2020-05-18 16:54:03+00
10,POSTOS,"RODOVIA BR 324 SN DISTRITO BESSA 44245000, CONCEIÇÃO DO JACUÍPE",,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.3667658,-38.8181722,https://goo.gl/maps/fUM2zxq6wi2dFUGL7,shell,2020-05-15 18:06:15+00,2020-05-18 16:58:29+00
18,MORIA,"AVENIDA GOVERNADOR JOAO DURVAL CARNEIRO 1720 CAPUCHINHOS 44076000, FEIRA DE SANTANA",7532231717,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2581637,-38.9531687,https://goo.gl/maps/sDoXoikwqyEgp7Ph6,petrobras,2020-05-15 18:06:15+00,2020-05-18 17:19:06+00
19,POSTO SAO JOAO,"RODOVIA BA 502, KM 02 S/N CIS 44330000, CACHOEIRA",7536164831,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.3149224,-38.9566615,https://goo.gl/maps/r8EbN2hkmctTbou98,outros,2020-05-15 18:06:15+00,2020-05-18 17:24:04+00
20,POSTO PIRAI,"RUA DOUTOR ANTONIO BORJA 000145 CENTRO 44010390, FEIRA DE SANTANA",7591153373,"há 2 hora(s), 8 minuto(s) e 1 segundo(s)",Feira de Santana,-12.2597563,-38.9692783,https://goo.gl/maps/Xebgtj8kVaaPgL68A,outros,2020-05-15 18:06:15+00,2020-05-18 17:33:57+00
